success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,cue,associate,cue_duration,associate_duration,initial_jitter,cue_asso_jitter,animacy,style,instruction,instruction_text,prompt,instruction_duration,accurate,question_order,key,numbers,trial_accuracies,mean_accuracy,exp,subjectId,date
,retrieval-trial,10,209973,0.0-10.0,,,,,,,,construct,/static/for_instructions/object_pics/drawing_clothe/hockey helmet.jpg,10000.0,,,,null,null,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,11,224102,0.0-11.0,,,,,,,,integrate,/static/for_instructions/object_pics/picture_veggie/avocado.jpg,10000.0,,,,null,null,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,survey-multi-choice,12,287009,0.0-12.0-0.0,,,,,62900.0,,"{'Encoding': 'True', 'EncodingKeys': 'True', 'Retrieval': 'True', 'RetrievalKeys': 'True'}",,,,,,,,,,,,,,"[0, 1, 2, 3]",,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,13,299025,0.0-13.0,,,,,12006.0,"
    <p>Great job! Now you'll continue onto doing the main tasks.
    You will have the opportunity to take brief breaks at various points.
    The instructions will be displayed again before the start of each task, in case you need a refresher.
    Good luck!<br>Press the space bar to continue.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
True,fullscreen,14,302909,0.0-14.0,,,,,,,,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,15,323557,0.0-15.0,,,,,20646.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,16,334390,0.0-16.0,,,,,6287.0,,,match,/static/object_pics/picture_bird/owl.jpg,2000.0,7000.0,1416.8342792508995,1108.0260191890645,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,17,344243,0.0-17.0,,,,,5469.0,,,assemble,/static/object_pics/drawing_clothe/hat.jpg,2000.0,7000.0,1461.4397916937119,895.9294598842591,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,18,351833,0.0-18.0,,,,,3365.0,,,spray,/static/object_pics/drawing_veggie/garlic.jpg,2000.0,7000.0,1437.7565846876937,762.7454800684878,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,19,358759,0.0-19.0,,,,,2306.0,,,glide,/static/object_pics/picture_fruit/apricot.jpg,2000.0,7000.0,1441.5891479443155,1164.4107216820744,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,20,364851,0.0-20.0,,,,,1453.0,,,decorate,/static/object_pics/drawing_fruit/cherry.jpg,2000.0,7000.0,1354.0362723854007,1268.2115678280056,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,21,375326,0.0-21.0,,,,,,,,warm,/static/object_pics/picture_sea/pufferfish.jpg,2000.0,7000.0,881.2045453179112,567.09882061509,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,22,380291,0.0-22.0,,,,,1189.0,,,harm,/static/object_pics/drawing_clothe/glasses.jpg,2000.0,7000.0,1107.9137228007176,649.646720270784,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,23,385236,0.0-23.0,,,,,1398.0,,,guide,/static/object_pics/picture_veggie/tomato.jpg,2000.0,7000.0,557.144010118741,970.117487344914,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,24,403697,0.0-24.0,,,,,18459.0,"
    <p>Now, you will a series of numbers. <br>
    If the number is even, press the left arrow key. <br>
    If the number is odd, press the right arrow key.<br>
    <br>
    When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,number-parity-trial,25,423702,0.0-25.0,,,,,,,"['arrowleft', 'arrowright', 'arrowleft', 'arrowright', 'arrowleft', 'arrowleft', 'arrowleft', 'arrowright', 'arrowright', 'arrowleft', 'arrowleft']",,,,,,,,,,,,,,,,"[60, 85, 76, 11, 32, 52, 32, 43, 69, 24, 58, 66]","[True, True, True, True, True, True, True, True, True, True, True]",1.0,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,26,430289,0.0-26.0,,,,,6581.0,"<p>In that last set of trials, you were correct 100% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,27,466973,0.0-27.0,,,,,36683.0,"
    <br>
    As you practiced earlier, you will now see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,28,481141,0.0-28.0,,,,,,,,harm,/static/object_pics/drawing_clothe/glasses.jpg,10000.0,,,,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,29,486816,0.0-29.0,,,,,1987.0,,,decorate,/static/object_pics/drawing_fruit/cherry.jpg,10000.0,,,,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,30,492242,0.0-30.0,,,,,1173.0,,,warm,/static/object_pics/picture_sea/pufferfish.jpg,10000.0,,,,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,31,498021,0.0-31.0,,,,,1746.0,,,assemble,/static/object_pics/drawing_clothe/hat.jpg,10000.0,,,,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,32,507802,0.0-32.0,,,,,5493.0,,,guide,/static/object_pics/picture_veggie/tomato.jpg,10000.0,,,,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,33,514016,0.0-33.0,,,,,1908.0,,,spray,/static/object_pics/drawing_veggie/garlic.jpg,10000.0,,,,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,34,521467,0.0-34.0,,,,,3518.0,,,match,/static/object_pics/picture_bird/owl.jpg,10000.0,,,,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,35,525854,0.0-35.0,,,,,654.0,,,glide,/static/object_pics/picture_fruit/apricot.jpg,10000.0,,,,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,36,533354,0.0-36.0,,,,,3613.0,,,assemble,/static/object_pics/drawing_clothe/hat.jpg,10000.0,,,,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,37,540213,0.0-37.0,,,,,2496.0,,,spray,/static/object_pics/drawing_veggie/garlic.jpg,10000.0,,,,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,38,546216,0.0-38.0,,,,,2028.0,,,glide,/static/object_pics/picture_fruit/apricot.jpg,10000.0,,,,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,39,551498,0.0-39.0,,,,,1150.0,,,match,/static/object_pics/picture_bird/owl.jpg,10000.0,,,,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,40,557403,0.0-40.0,,,,,1751.0,,,decorate,/static/object_pics/drawing_fruit/cherry.jpg,10000.0,,,,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,41,565567,0.0-41.0,,,,,4627.0,,,harm,/static/object_pics/drawing_clothe/glasses.jpg,10000.0,,,,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,42,570861,0.0-42.0,,,,,1248.0,,,guide,/static/object_pics/picture_veggie/tomato.jpg,10000.0,,,,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,43,575922,0.0-43.0,,,,,1421.0,,,warm,/static/object_pics/picture_sea/pufferfish.jpg,10000.0,,,,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,44,578668,0.0-44.0,,,,,2744.0,"<p>In that last set of trials, you were correct 19% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,45,584260,0.0-45.0,,,,,5591.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,46,595421,0.0-46.0,,,,,,,,volley,/static/object_pics/drawing_bird/pigeon.jpg,2000.0,7000.0,659.7045359998767,1477.2302870078279,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,47,600841,0.0-47.0,,,,,2115.0,,,splash,/static/object_pics/drawing_veggie/mushrooms.jpg,2000.0,7000.0,662.9306056931787,630.0971446625019,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,48,606148,0.0-48.0,,,,,1102.0,,,squeeze,/static/object_pics/picture_sea/dolphin.jpg,2000.0,7000.0,857.4662597260865,1329.2585231949333,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,49,611983,0.0-49.0,,,,,1466.0,,,pump,/static/object_pics/picture_mammal/rhinoceros.jpg,2000.0,7000.0,1046.5815086574971,1306.6551560070216,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,50,622907,0.0-50.0,,,,,6870.0,,,punch,/static/object_pics/drawing_bird/peacock.jpg,2000.0,7000.0,1170.9127314483844,868.1713617412815,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,51,631254,0.0-51.0,,,,,4169.0,,,balance,/static/object_pics/picture_electronic/camera.jpg,2000.0,7000.0,1059.7659921263407,1099.303875306267,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,52,636582,0.0-52.0,,,,,1049.0,,,tie,/static/object_pics/picture_clothe/bowtie.jpg,2000.0,7000.0,1115.3268272194925,1143.6627657001463,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,53,641484,0.0-53.0,,,,,793.0,,,draw,/static/object_pics/picture_mammal/giraffe.jpg,2000.0,7000.0,1244.1156540287168,833.3583250346069,,,,,,,,, ,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,54,643176,0.0-54.0,,,,,1691.0,"
    <p>Now, you will a series of numbers. <br>
    If the number is even, press the left arrow key. <br>
    If the number is odd, press the right arrow key.<br>
    <br>
    When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,number-parity-trial,55,663181,0.0-55.0,,,,,,,"['arrowleft', 'arrowright', 'arrowright', 'arrowleft', 'arrowright', 'arrowleft', 'arrowright', 'arrowright', 'arrowright', 'arrowright', 'arrowright', 'arrowleft', 'arrowright', 'arrowright', 'arrowleft', 'arrowleft', 'arrowright', 'arrowleft', 'arrowleft']",,,,,,,,,,,,,,,,"[26, 53, 41, 56, 83, 2, 47, 73, 73, 69, 13, 64, 57, 21, 90, 80, 77, 38, 8, 19]","[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]",1.0,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,56,670807,0.0-56.0,,,,,7624.0,"<p>In that last set of trials, you were correct 100% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,57,672921,0.0-57.0,,,,,2112.0,"
    <br>
    As you practiced earlier, you will now see an action verb that you were shown earlier. Your job is to bring back to mind the object
    that you imagined being involved with this word and to report information about the object's semantic or visual features.
    <br>
    A question screen presented before the action verb will indicate which feature you are to report on:
    <br>
    ""animate vs. inanimate"" or ""photo vs. drawing"".
    <br>
    Press the left arrow button for animate/photo or the right arrow button for inanimate/drawing.
    <br>
    If you forgot the object associated with the verb, press the down arrow.
    Please respond as quickly as possible, and use your dominant hand to make your responses.
    <br>
    <img src=""/static/instructions_pics/retrieval_pic.png"" height=""350px"">
    <br>When you read the first set of instructions, you may have created a vivid mental image involving the word ""find"" and a drawing of a dog.
    In these examples trials shown above, the correct response for the top row is ""animate"", whereas the correct response for the bottom row is ""drawing"".
    <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,58,677072,0.0-58.0,,,,,19.0,,,tie,/static/object_pics/picture_clothe/bowtie.jpg,10000.0,,,,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,59,690450,0.0-59.0,,,,,9516.0,,,draw,/static/object_pics/picture_mammal/giraffe.jpg,10000.0,,,,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,60,703489,0.0-60.0,,,,,8571.0,,,squeeze,/static/object_pics/picture_sea/dolphin.jpg,10000.0,,,,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,61,711519,0.0-61.0,,,,,4266.0,,,pump,/static/object_pics/picture_mammal/rhinoceros.jpg,10000.0,,,,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,62,716734,0.0-62.0,,,,,1353.0,,,balance,/static/object_pics/picture_electronic/camera.jpg,10000.0,,,,inanimate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,63,724523,0.0-63.0,,,,,3533.0,,,punch,/static/object_pics/drawing_bird/peacock.jpg,10000.0,,,,animate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,64,733288,0.0-64.0,,,,,4477.0,,,volley,/static/object_pics/drawing_bird/pigeon.jpg,10000.0,,,,animate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,65,740548,0.0-65.0,,,,,2910.0,,,splash,/static/object_pics/drawing_veggie/mushrooms.jpg,10000.0,,,,inanimate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,66,750549,0.0-66.0,,,,,5887.0,,,draw,/static/object_pics/picture_mammal/giraffe.jpg,10000.0,,,,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowright,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,67,755691,0.0-67.0,,,,,1219.0,,,tie,/static/object_pics/picture_clothe/bowtie.jpg,10000.0,,,,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowdown,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,68,762600,0.0-68.0,,,,,2754.0,,,punch,/static/object_pics/drawing_bird/peacock.jpg,10000.0,,,,animate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,69,768215,0.0-69.0,,,,,1803.0,,,pump,/static/object_pics/picture_mammal/rhinoceros.jpg,10000.0,,,,animate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,70,772000,0.0-70.0,,,,,113.0,,,balance,/static/object_pics/picture_electronic/camera.jpg,10000.0,,,,inanimate,photo,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,71,776667,0.0-71.0,,,,,1118.0,,,splash,/static/object_pics/drawing_veggie/mushrooms.jpg,10000.0,,,,inanimate,drawing,perceptual,<p>photo (left)&emsp;&emsp;&emsp;&emsp;drawing (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,72,782502,0.0-72.0,,,,,1904.0,,,volley,/static/object_pics/drawing_bird/pigeon.jpg,10000.0,,,,animate,drawing,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,False,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,retrieval-trial,73,789766,0.0-73.0,,,,,2751.0,,,squeeze,/static/object_pics/picture_sea/dolphin.jpg,10000.0,,,,animate,photo,semantic,<p>animate (left)&emsp;&emsp;&emsp;&emsp;inanimate (right)<br><br>forgotten (down)</p>,,3000.0,True,,arrowleft,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,74,793332,0.0-74.0,,,,,3564.0,"<p>In that last set of trials, you were correct 38% of the time.<br> Press the space bar to continue. </p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,html-keyboard-response,75,794676,0.0-75.0,,,,,1342.0,"
    <p>As you practiced earlier, you will first see an action verb in this part of the study. This will be followed by a plus sign, and then an object.<br>
    Your job is to create a vivid mental image involving the action verb and the object.<br>
    Once you have a clear association in mind, press the space bar to continue to the next trial.<br>
    <br>
    Please keep in mind that you will be asked later about the object's perceptual properties in addition to its meaning.
    <br>
    <img src=""/static/instructions_pics/encoding_pic.png"" height=""350px"">
    <br>
    Press the space bar when you are ready to start the task.</p>", ,,,,,,,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,76,806502,0.0-76.0,,,,,,,,wash,/static/object_pics/drawing_insect/bumble bee.jpg,2000.0,7000.0,1316.0757160551989,1482.775549773624,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,77,818230,0.0-77.0,,,,,,,,compare,/static/object_pics/drawing_mammal/lion.jpg,2000.0,7000.0,1424.3896938162602,1271.4571740031895,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,78,828582,0.0-78.0,,,,,,,,break,/static/object_pics/picture_bird/canary.jpg,2000.0,7000.0,800.2115958375116,525.3409817094528,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,79,839949,0.0-79.0,,,,,,,,reduce,/static/object_pics/drawing_bird/parrot.jpg,2000.0,7000.0,846.1172665649075,1487.8724375785246,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
,encoding-trial,80,851108,0.0-80.0,,,,,,,,jump,/static/object_pics/picture_fruit/pineapple.jpg,2000.0,7000.0,1063.6010413116637,1068.5856329000148,,,,,,,,,,,,,MEM,MEM_0030,2022-12-08 04:36:51
