success,trial_type,trial_index,time_elapsed,internal_node_id,timeout,failed_images,failed_audio,failed_video,rt,stimulus,response,instruction,instruction_class,instruction_duration,prompt,object,object_duration,animacy,style,jitter,accurate,key,question_order,exp,subjectId,date
,visual-trial,11,140735,0.0-11.0,,,,,891.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_electronic/camera.jpg,7000.0,inanimate,photo,696.7579098324175,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,12,145879,0.0-12.0,,,,,963.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_fruit/pear.jpg,7000.0,inanimate,drawing,1158.3040025530759,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,13,150743,0.0-13.0,,,,,1017.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/bison.jpg,7000.0,animate,photo,829.0226230796758,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,14,155962,0.0-14.0,,,,,752.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/tomato.jpg,7000.0,inanimate,photo,1443.4043230699253,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,15,160951,0.0-15.0,,,,,745.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_electronic/phone.jpg,7000.0,inanimate,photo,1224.9343526441362,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,16,165507,0.0-16.0,,,,,1000.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/aubergine.jpg,7000.0,inanimate,photo,534.4094339972436,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,17,170571,0.0-17.0,,,,,1153.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/hoodie.jpg,7000.0,inanimate,drawing,892.0072116899271,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,18,176766,0.0-18.0,,,,,2569.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/pomegranate.jpg,7000.0,inanimate,drawing,599.570925305383,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,19,181649,0.0-19.0,,,,,731.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/butterfly.jpg,7000.0,animate,drawing,1136.5253775520785,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,20,186386,0.0-20.0,,,,,853.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_electronic/radio02.jpg,7000.0,inanimate,photo,869.0246222360076,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,21,191665,0.0-21.0,,,,,823.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_electronic/microphone.jpg,7000.0,inanimate,photo,1441.4309326290763,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,22,196989,0.0-22.0,,,,,1001.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_electronic/computer mouse.jpg,7000.0,inanimate,photo,1303.6392194969762,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,23,202279,0.0-23.0,,,,,836.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_insect/fly.jpg,7000.0,animate,drawing,1437.293985525138,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,24,207399,0.0-24.0,,,,,947.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/jeans.jpg,7000.0,inanimate,drawing,1159.3876530032744,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,25,212192,0.0-25.0,,,,,1141.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/apple.jpg,7000.0,inanimate,drawing,626.102018853585,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,26,217237,0.0-26.0,,,,,784.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_veggie/pumpkin.jpg,7000.0,inanimate,photo,1247.2300789370788,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,27,222426,0.0-27.0,,,,,1230.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_insect/scorpion.jpg,7000.0,animate,drawing,943.5675062989959,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,28,228490,0.0-28.0,,,,,1910.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/rabbit.jpg,7000.0,animate,photo,1141.429116460231,False,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,29,233920,0.0-29.0,,,,,1126.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/wolf.jpg,7000.0,animate,photo,1290.0686412914108,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,30,239251,0.0-30.0,,,,,1600.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/watermelon.jpg,7000.0,inanimate,drawing,711.2688237698657,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,31,245662,0.0-31.0,,,,,2275.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_clothe/scarf.jpg,7000.0,inanimate,drawing,1117.6097850831497,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,32,250379,0.0-32.0,,,,,894.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_insect/snail.jpg,7000.0,animate,drawing,807.3841215791019,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,33,255332,0.0-33.0,,,,,501.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_bird/vulture.jpg,7000.0,animate,photo,1434.926658861792,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,34,260772,0.0-34.0,,,,,1176.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/papaya.jpg,7000.0,inanimate,drawing,1244.6416762093495,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,35,266741,0.0-35.0,,,,,1567.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/mosquito.jpg,7000.0,animate,drawing,1386.7469667284095,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,36,271067,0.0-36.0,,,,,629.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/football sneaker.jpg,7000.0,inanimate,drawing,680.7698551125392,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,37,276060,0.0-37.0,,,,,822.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_insect/spider.jpg,7000.0,animate,drawing,1154.074956761448,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,38,282010,0.0-38.0,,,,,1532.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_electronic/remote control.jpg,7000.0,inanimate,photo,1390.2279635988486,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,39,287164,0.0-39.0,,,,,1228.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/swordfish.jpg,7000.0,animate,drawing,912.9113169040164,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,40,291514,0.0-40.0,,,,,652.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_bird/parrot.jpg,7000.0,animate,photo,678.864080275566,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,41,296002,0.0-41.0,,,,,940.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/lion.jpg,7000.0,animate,photo,528.8461759279502,False,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,html-keyboard-response,42,317919,0.0-42.0,,,,,21911.0,"
        <p>In that last set of trials, you were correct 75% of the time.</p>
        <p>Feel free to take a brief break. In the next set of trials, you will continue with the same task.
        The instructions are displayed below, in case you need a refresher.
        Press the space bar when you are ready to continue.</p>
        <p>In this task, you will see a series of objects. On some trials, your job is to determine
        whether the object shown is a color photograph or a line drawing. On other trials, your job
        is to determine whether the object represented is animate or inanimate.

        <br><br>
        You will know which response to make depending on the initial display, which will say
        ""animate / inanimate"" or ""photo / drawing"".
        <br>
        You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
        <br>
        Please respond as quickly as possible, and use your dominant hand to make your responses.
        <br><br>
        You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
        <br><br>
        <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
        <br>
        In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
        <br>
        <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,43,322633,0.0-43.0,,,,,971.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_electronic/printer.jpg,7000.0,inanimate,photo,728.003032953003,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,44,327618,0.0-44.0,,,,,716.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_fruit/cherry.jpg,7000.0,inanimate,drawing,1257.6800569865,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,45,332637,0.0-45.0,,,,,653.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/starfish.jpg,7000.0,animate,drawing,1340.3693644999519,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,46,337314,0.0-46.0,,,,,778.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/asparagus.jpg,7000.0,inanimate,photo,885.1966207313784,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,47,342368,0.0-47.0,,,,,929.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_veggie/potato.jpg,7000.0,inanimate,photo,1110.6441216201838,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,48,347356,0.0-48.0,,,,,828.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/coconut.jpg,7000.0,inanimate,drawing,1133.1192687420585,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,49,352502,0.0-49.0,,,,,652.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/gorilla.jpg,7000.0,animate,photo,1473.02434191663,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,50,357214,0.0-50.0,,,,,598.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_bird/peacock.jpg,7000.0,animate,photo,1101.0290099386639,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,51,362183,0.0-51.0,,,,,879.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/mantaray.jpg,7000.0,animate,drawing,1074.0892822844164,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,52,367092,0.0-52.0,,,,,852.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/octopus.jpg,7000.0,animate,drawing,1040.5358678144753,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,53,372116,0.0-53.0,,,,,566.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/strawberry.jpg,7000.0,inanimate,drawing,1433.4273293536012,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,54,376804,0.0-54.0,,,,,756.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/rhinoceros.jpg,7000.0,animate,photo,914.1154357181626,False,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,55,381776,0.0-55.0,,,,,1256.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_fruit/pineapple.jpg,7000.0,inanimate,drawing,697.0960751692628,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,56,386118,0.0-56.0,,,,,700.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_insect/mantis.jpg,7000.0,animate,drawing,622.8508087889521,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,57,390931,0.0-57.0,,,,,755.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/high heels.jpg,7000.0,inanimate,drawing,1044.1580593071803,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,58,396181,0.0-58.0,,,,,1310.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_electronic/hairdryer.jpg,7000.0,inanimate,photo,929.903981364433,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,59,401482,0.0-59.0,,,,,1407.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_sea/piranha.jpg,7000.0,animate,drawing,871.6846380358834,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,60,406410,0.0-60.0,,,,,922.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/bowtie.jpg,7000.0,inanimate,drawing,991.4473653333331,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,61,412098,0.0-61.0,,,,,1490.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_fruit/kiwi.jpg,7000.0,inanimate,drawing,1178.9739798858504,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,62,417550,0.0-62.0,,,,,1756.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_clothe/dress.jpg,7000.0,inanimate,drawing,667.4919105109063,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,63,422680,0.0-63.0,,,,,1510.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/squirrel.jpg,7000.0,animate,photo,599.3456385903518,False,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,64,427960,0.0-64.0,,,,,953.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_sea/shark.jpg,7000.0,animate,drawing,1312.319277076703,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,65,433070,0.0-65.0,,,,,1119.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_mammal/camel.jpg,7000.0,animate,photo,968.7052524676217,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,66,438632,0.0-66.0,,,,,1454.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/glasses.jpg,7000.0,inanimate,drawing,1093.1470616798647,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,67,444618,0.0-67.0,,,,,1531.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/beetle.jpg,7000.0,animate,drawing,1437.7577380327652,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,68,451015,0.0-68.0,,,,,1889.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_electronic/gamepad.jpg,7000.0,inanimate,photo,1493.4416532534738,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,69,456677,0.0-69.0,,,,,1766.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_mammal/bear.jpg,7000.0,animate,photo,877.4483720238125,False,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,70,462249,0.0-70.0,,,,,1755.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/garlic.jpg,7000.0,inanimate,photo,800.7981572064946,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,71,468113,0.0-71.0,,,,,1349.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_electronic/satellite dish.jpg,7000.0,inanimate,photo,1498.2636641094866,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,72,473815,0.0-72.0,,,,,1348.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_clothe/sport t-shirt.jpg,7000.0,inanimate,drawing,1331.9701602594141,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,73,479549,0.0-73.0,,,,,1512.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_bird/canary.jpg,7000.0,animate,photo,1204.2867686722952,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,74,484270,0.0-74.0,,,,,851.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_veggie/cucumber.jpg,7000.0,inanimate,photo,856.8488638513696,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,html-keyboard-response,75,513467,0.0-75.0,,,,,29193.0,"
        <p>In that last set of trials, you were correct 72% of the time.</p>
        <p>Feel free to take a brief break. In the next set of trials, you will continue with the same task.
        The instructions are displayed below, in case you need a refresher.
        Press the space bar when you are ready to continue.</p>
        <p>In this task, you will see a series of objects. On some trials, your job is to determine
        whether the object shown is a color photograph or a line drawing. On other trials, your job
        is to determine whether the object represented is animate or inanimate.

        <br><br>
        You will know which response to make depending on the initial display, which will say
        ""animate / inanimate"" or ""photo / drawing"".
        <br>
        You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
        <br>
        Please respond as quickly as possible, and use your dominant hand to make your responses.
        <br><br>
        You will be able to use the left arrow key to report animate/photo and the right arrow key to report inanimate/drawing.
        <br><br>
        <img src=""/static/instructions_pics/visual_pic.png"" height=""300px"">
        <br>
        In the example in the top row, the correct response is animate (left arrow key). In the example in the bottom row, the correct response is photo (left arrow key).
        <br>
        <br>When you are ready to begin, press the space bar.</p>", ,,,,,,,,,,,,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,76,518326,0.0-76.0,,,,,935.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_bird/flamingo.jpg,7000.0,animate,photo,904.750768349187,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,77,524241,0.0-77.0,,,,,2227.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_veggie/beetroot.jpg,7000.0,inanimate,photo,672.7011282673005,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,78,530601,0.0-78.0,,,,,2065.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_fruit/apricot.jpg,7000.0,inanimate,drawing,1274.6495669213255,False,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,79,536459,0.0-79.0,,,,,1836.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/drawing_insect/centipede.jpg,7000.0,animate,drawing,1003.4213562485581,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,80,542162,0.0-80.0,,,,,1978.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/drawing_clothe/gloves.jpg,7000.0,inanimate,drawing,701.2106725851361,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,81,548146,0.0-81.0,,,,,1610.0,,,animate (left arrow)&emsp;&emsp;&emsp;&emsp;inanimate (right arrow),semantic,3000.0,,/static/object_pics/picture_electronic/toaster.jpg,7000.0,inanimate,photo,1358.1563722451144,True,arrowright,,MEM,MEM_0071,2022-12-08 22:19:04
,visual-trial,82,555048,0.0-82.0,,,,,2631.0,,,photo (left arrow)&emsp;&emsp;&emsp;&emsp;drawing (right arrow),perceptual,3000.0,,/static/object_pics/picture_electronic/laptop.jpg,7000.0,inanimate,photo,1252.543110670489,True,arrowleft,,MEM,MEM_0071,2022-12-08 22:19:04
